# y z Fx[N] Fy[N] Fz[N]
-0.00857143 0.00428571 3.48856e-24 5.82025e-15 1.37347e-15
-0.00857143 0.00857143 2.66959e-24 2.9491e-15 7.70563e-16
-0.00857143 0.0128571 3.54465e-24 7.86716e-16 8.9767e-16
-0.00857143 0.0171429 2.14036e-24 -1.02513e-16 9.10713e-16
-0.00857143 0.0214286 -2.47469e-25 -1.93195e-16 6.89799e-16
-0.00857143 0.0257143 -1.11629e-24 -7.03293e-17 4.37697e-16
-0.00857143 0.03 -4.57126e-25 -7.48572e-20 2.81898e-16

-0.00428571 -0.03 -5.7747e-25 4.34096e-17 2.68545e-16
-0.00428571 -0.0257143 -6.48732e-25 8.19053e-17 7.46419e-16
-0.00428571 -0.0214286 1.12544e-24 1.80683e-16 5.09585e-16
-0.00428571 -0.0171429 -2.88233e-24 4.37386e-16 1.63543e-15
-0.00428571 -0.0128571 -2.49392e-24 1.62064e-15 6.27551e-15
-0.00428571 -0.00857143 1.47218e-23 4.38444e-15 9.60667e-15
-0.00428571 -0.00428571 3.0021e-23 7.40566e-15 6.73723e-15
-0.00428571 3.46945e-18 2.5342e-23 8.28805e-15 9.22232e-16
-0.00428571 0.00428571 1.17796e-23 6.42838e-15 -2.10346e-15
-0.00428571 0.00857143 4.52918e-24 3.45867e-15 -1.49308e-15
-0.00428571 0.0128571 3.24179e-24 1.17734e-15 1.34976e-16
-0.00428571 0.0171429 2.22729e-24 1.26062e-16 9.48318e-16
-0.00428571 0.0214286 4.54619e-25 -1.0804e-16 9.03369e-16
-0.00428571 0.0257143 -5.35771e-25 -6.17158e-17 5.81682e-16
-0.00428571 0.03 -3.88576e-25 -7.76172e-18 3.40238e-16

3.46945e-18 -0.03 0 -3.2675e-27 3.24965e-16
3.46945e-18 -0.0257143 0 6.38735e-25 7.88667e-16
3.46945e-18 -0.0214286 0 -1.36014e-24 5.52223e-16
3.46945e-18 -0.0171429 0 2.53653e-25 2.36626e-15
3.46945e-18 -0.0128571 0 3.85493e-24 7.96263e-15
3.46945e-18 -0.00857143 0 -2.06217e-24 1.08603e-14
3.46945e-18 -0.00428571 0 -1.00005e-23 6.01671e-15
3.46945e-18 3.46945e-18 0 -4.14545e-24 -1.48296e-15
3.46945e-18 0.00428571 0 1.00185e-23 -4.63961e-15
3.46945e-18 0.00857143 0 1.64305e-23 -3.08196e-15
3.46945e-18 0.0128571 0 1.20676e-23 -4.72987e-16
3.46945e-18 0.0171429 0 5.05179e-24 8.66483e-16
3.46945e-18 0.0214286 0 1.27386e-24 9.7056e-16
3.46945e-18 0.0257143 0 5.90239e-25 6.40698e-16
3.46945e-18 0.03 0 7.95612e-25 3.6634e-16

0.00428571 -0.03 5.7747e-25 -4.34096e-17 2.68545e-16
0.00428571 -0.0257143 6.48732e-25 -8.19053e-17 7.46419e-16
0.00428571 -0.0214286 -1.12544e-24 -1.80683e-16 5.09585e-16
0.00428571 -0.0171429 2.88233e-24 -4.37386e-16 1.63543e-15
0.00428571 -0.0128571 2.49392e-24 -1.62064e-15 6.27551e-15
0.00428571 -0.00857143 -1.47218e-23 -4.38444e-15 9.60667e-15
0.00428571 -0.00428571 -3.0021e-23 -7.40566e-15 6.73723e-15
0.00428571 3.46945e-18 -2.5342e-23 -8.28805e-15 9.22232e-16
0.00428571 0.00428571 -1.17796e-23 -6.42838e-15 -2.10346e-15
0.00428571 0.00857143 -4.52917e-24 -3.45867e-15 -1.49308e-15
0.00428571 0.0128571 -3.24179e-24 -1.17734e-15 1.34976e-16
0.00428571 0.0171429 -2.22729e-24 -1.26062e-16 9.48318e-16
0.00428571 0.0214286 -4.54619e-25 1.0804e-16 9.03369e-16
0.00428571 0.0257143 5.35771e-25 6.17158e-17 5.81682e-16
0.00428571 0.03 3.88576e-25 7.76172e-18 3.40238e-16

0.00857143 -0.03 3.43591e-25 -7.15272e-17 1.41443e-16
0.00857143 -0.0257143 1.97189e-24 -1.12042e-16 5.8651e-16
0.00857143 -0.0214286 -1.4287e-24 -2.45479e-16 5.22342e-16
0.00857143 -0.0171429 7.25821e-25 -4.44731e-16 4.5149e-16
0.00857143 -0.0128571 8.09902e-24 -1.27358e-15 2.61594e-15
0.00857143 -0.00857143 3.50074e-24 -3.60092e-15 5.60709e-15
0.00857143 -0.00428571 -7.12083e-24 -6.48924e-15 5.846e-15
0.00857143 3.46945e-18 -8.00187e-24 -7.51863e-15 3.4811e-15
0.00857143 0.00428571 -3.48856e-24 -5.82025e-15 1.37347e-15
0.00857143 0.00857143 -2.66958e-24 -2.9491e-15 7.70563e-16
0.00857143 0.0128571 -3.54465e-24 -7.86716e-16 8.9767e-16
0.00857143 0.0171429 -2.14036e-24 1.02513e-16 9.10713e-16
0.00857143 0.0214286 2.47469e-25 1.93195e-16 6.89799e-16
0.00857143 0.0257143 1.11629e-24 7.03293e-17 4.37697e-16
0.00857143 0.03 4.57126e-25 7.4859e-20 2.81898e-16

0.0128571 -0.03 -5.9557e-25 -7.78956e-17 5.16732e-17
0.0128571 -0.0257143 2.23708e-24 -9.89259e-17 2.93675e-16
0.0128571 -0.0214286 1.28135e-24 -1.93392e-16 5.49035e-16
0.0128571 -0.0171429 -2.21851e-24 -3.22886e-16 1.84567e-16
0.0128571 -0.0128571 1.68927e-24 -4.54648e-16 1.91904e-16
0.0128571 -0.00857143 7.89144e-24 -1.00184e-15 1.25359e-15
0.0128571 -0.00428571 8.90594e-24 -1.94435e-15 2.18985e-15
0.0128571 3.46945e-18 6.47703e-24 -2.36306e-15 2.08658e-15
0.0128571 0.00428571 2.75664e-24 -1.71963e-15 1.44745e-15
0.0128571 0.00857143 -8.07891e-25 -6.07494e-16 9.64467e-16
0.0128571 0.0128571 -1.71188e-24 1.30484e-16 7.27185e-16
0.0128571 0.0171429 -3.51698e-26 2.83084e-16 5.66192e-16
0.0128571 0.0214286 1.44897e-24 1.46746e-16 4.13769e-16
0.0128571 0.0257143 1.1765e-24 2.01585e-17 2.95351e-16
0.0128571 0.03 2.71006e-27 -8.07311e-18 2.30937e-16

