# x y Fx[N] Fy[N] Fz[N]
0.0257143 0.0214286 4.16725e-17 -1.30443e-16 1.16736e-16
0.0257143 0.0257143 1.22112e-16 -1.01531e-16 2.44817e-18
0.0257143 0.03 8.47117e-17 1.03965e-17 2.53886e-17

0.03 -0.03 8.78949e-18 3.95871e-17 9.30633e-17
0.03 -0.0257143 1.71877e-17 7.008e-17 2.62045e-16
0.03 -0.0214286 2.24809e-16 2.96544e-17 1.35329e-16
0.03 -0.0171429 2.36207e-16 2.09509e-17 -1.6702e-16
0.03 -0.0128571 -4.38833e-16 2.18063e-16 -3.35543e-17
0.03 -0.00857143 -1.16403e-15 4.19653e-16 4.59258e-16
0.03 -0.00428571 -1.33844e-15 3.31141e-16 7.87362e-16
0.03 3.46945e-18 -1.29726e-15 2.42096e-26 8.63411e-16
0.03 0.00428571 -1.33844e-15 -3.31141e-16 7.87362e-16
0.03 0.00857143 -1.16403e-15 -4.19653e-16 4.59258e-16
0.03 0.0128571 -4.38833e-16 -2.18063e-16 -3.35543e-17
0.03 0.0171429 2.36207e-16 -2.09509e-17 -1.6702e-16
0.03 0.0214286 2.24809e-16 -2.96544e-17 1.35329e-16
0.03 0.0257143 1.71877e-17 -7.008e-17 2.62045e-16
0.03 0.03 8.7895e-18 -3.95871e-17 9.30633e-17

