# x z Fx[N] Fy[N] Fz[N]
-0.00857143 0.00857143 -8.45942e-15 3.74132e-23 -7.62622e-17
-0.00857143 0.0128571 -6.9218e-15 2.85279e-23 4.31871e-16
-0.00857143 0.0171429 -3.36024e-15 1.4906e-23 3.33953e-16
-0.00857143 0.0214286 -9.39059e-16 5.14763e-24 2.29449e-16
-0.00857143 0.0257143 -9.77117e-17 9.11628e-25 2.48624e-16
-0.00857143 0.03 -3.49174e-17 4.96846e-26 2.70628e-16

-0.00428571 -0.03 1.29584e-16 -6.55813e-26 1.61655e-16
-0.00428571 -0.0257143 2.86589e-16 -2.5324e-25 6.86033e-16
-0.00428571 -0.0214286 -2.76019e-17 1.59838e-24 9.51476e-16
-0.00428571 -0.0171429 8.94282e-16 -1.40728e-24 1.41714e-15
-0.00428571 -0.0128571 2.94203e-15 -1.36663e-24 7.36038e-15
-0.00428571 -0.00857143 4.4991e-15 2.08954e-23 1.92589e-14
-0.00428571 -0.00428571 5.73944e-15 5.63561e-23 2.7387e-14
-0.00428571 3.46945e-18 5.9297e-15 7.52727e-23 2.42183e-14
-0.00428571 0.00428571 3.62601e-15 6.68395e-23 1.37444e-14
-0.00428571 0.00857143 2.31192e-16 4.41295e-23 4.55404e-15
-0.00428571 0.0128571 -1.54518e-15 2.26697e-23 4.52851e-16
-0.00428571 0.0171429 -1.21778e-15 8.94982e-24 -6.48851e-17
-0.00428571 0.0214286 -2.38001e-16 2.54228e-24 4.06058e-16
-0.00428571 0.0257143 2.4697e-16 6.40931e-25 6.22138e-16
-0.00428571 0.03 1.81868e-16 5.77863e-25 5.14978e-16

3.46945e-18 -0.03 0 -3.26743e-27 3.24965e-16
3.46945e-18 -0.0257143 0 6.38735e-25 7.88667e-16
3.46945e-18 -0.0214286 0 -1.36014e-24 5.52223e-16
3.46945e-18 -0.0171429 0 2.53653e-25 2.36626e-15
3.46945e-18 -0.0128571 0 3.85493e-24 7.96263e-15
3.46945e-18 -0.00857143 0 -2.06216e-24 1.08603e-14
3.46945e-18 -0.00428571 1.27794e-29 -1.00005e-23 6.01671e-15
3.46945e-18 3.46945e-18 1.00415e-29 -4.14544e-24 -1.48296e-15
3.46945e-18 0.00428571 0 1.00185e-23 -4.63961e-15
3.46945e-18 0.00857143 0 1.64305e-23 -3.08196e-15
3.46945e-18 0.0128571 6.65144e-31 1.20676e-23 -4.72987e-16
3.46945e-18 0.0171429 0 5.05179e-24 8.66483e-16
3.46945e-18 0.0214286 0 1.27386e-24 9.7056e-16
3.46945e-18 0.0257143 0 5.90239e-25 6.40698e-16
3.46945e-18 0.03 0 7.95612e-25 3.6634e-16

0.00428571 -0.03 -1.29584e-16 3.42058e-25 1.61655e-16
0.00428571 -0.0257143 -2.86589e-16 3.78507e-25 6.86033e-16
0.00428571 -0.0214286 2.76019e-17 1.17194e-24 9.51476e-16
0.00428571 -0.0171429 -8.94282e-16 3.63681e-25 1.41714e-15
0.00428571 -0.0128571 -2.94203e-15 1.20502e-25 7.36038e-15
0.00428571 -0.00857143 -4.4991e-15 1.35311e-23 1.92589e-14
0.00428571 -0.00428571 -5.73944e-15 4.14404e-23 2.7387e-14
0.00428571 3.46945e-18 -5.9297e-15 6.01265e-23 2.42183e-14
0.00428571 0.00428571 -3.62601e-15 5.25419e-23 1.37444e-14
0.00428571 0.00857143 -2.31192e-16 2.94962e-23 4.55404e-15
0.00428571 0.0128571 1.54518e-15 1.05538e-23 4.52851e-16
0.00428571 0.0171429 1.21778e-15 2.65686e-24 -6.48851e-17
0.00428571 0.0214286 2.38001e-16 1.46485e-24 4.06058e-16
0.00428571 0.0257143 -2.4697e-16 1.65412e-24 6.22138e-16
0.00428571 0.03 -1.81868e-16 1.32068e-24 5.14978e-16

0.00857143 -0.03 9.7054e-17 -5.94576e-25 7.92061e-16
0.00857143 -0.0257143 1.84778e-16 -1.27709e-24 1.03242e-15
0.00857143 -0.0214286 -3.56296e-17 -3.25452e-24 1.55309e-15
0.00857143 -0.0171429 1.71763e-16 -9.80099e-24 5.36969e-15
0.00857143 -0.0128571 -1.28045e-15 -2.28389e-23 9.73225e-15
0.00857143 -0.00857143 -6.63641e-15 -3.0849e-23 8.27379e-15
0.00857143 -0.00428571 -9.91082e-15 -2.65394e-23 2.38035e-15
0.00857143 3.46945e-18 -4.83946e-15 -1.88516e-23 -1.4396e-15
0.00857143 0.00428571 4.04469e-15 -1.44486e-23 -1.34874e-15
