# frequency radius F_z
10000 0.001 1.25749336945662e-19
10000 0.00112752 2.58430749981237e-19
10000 0.00125503 4.91643778062109e-19
10000 0.00138255 8.78878088497037e-19
10000 0.00151007 1.49264597877389e-18
10000 0.00163758 2.42856106928398e-18
10000 0.0017651 3.80982374880895e-18
10000 0.00189262 5.79211679331011e-18
10000 0.00202013 8.56891487837945e-18
10000 0.00214765 1.23772120039622e-17
10000 0.00227517 1.75036711528051e-17
10000 0.00240268 2.42912007917300e-17
10000 0.0025302 3.31459631304441e-17
10000 0.00265772 4.45448193380859e-17
10000 0.00278523 5.90432172173221e-17
10000 0.00291275 7.72835271144647e-17
10000 0.00304027 1.00003832144800e-16
10000 0.00316779 1.28047179082051e-16
10000 0.0032953 1.62371296550393e-16
10000 0.00342282 2.04058787427367e-16
10000 0.00355034 2.54327802641105e-16
10000 0.00367785 3.14543203800454e-16
10000 0.00380537 3.86228222375403e-16
10000 0.00393289 4.71076623371346e-16
10000 0.0040604 5.70965381698969e-16
10000 0.00418792 6.87967879682056e-16
10000 0.00431544 8.24367634351125e-16
10000 0.00444295 9.82672563396656e-16
10000 0.00457047 1.16562979885615e-15
10000 0.00469799 1.37624105779487e-15
10000 0.0048255 1.61777857939730e-15
10000 0.00495302 1.89380163806994e-15
10000 0.00508054 2.20817364226023e-15
10000 0.00520805 2.56507982883326e-15
10000 0.00533557 2.96904556292102e-15
10000 0.00546309 3.42495525326206e-15
10000 0.0055906 3.93807189302693e-15
10000 0.00571812 4.51405723620591e-15
10000 0.00584564 5.15899261957820e-15
10000 0.00597315 5.87940044020710e-15
10000 0.00610067 6.68226629835684e-15
10000 0.00622819 7.57506181556344e-15
10000 0.0063557 8.56576813740429e-15
10000 0.00648322 9.66290013031873e-15
10000 0.00661074 1.08755312815035e-14
10000 0.00673826 1.22133193106094e-14
10000 0.00686577 1.36865325015482e-14
10000 0.00699329 1.53060767622838e-14
10000 0.00712081 1.70835234198845e-14
10000 0.00724832 1.90311377575945e-14
10000 0.00737584 2.11619082999325e-14
10000 0.00750336 2.34895768510629e-14
10000 0.00763087 2.60286692908517e-14
10000 0.00775839 2.87945271319965e-14
10000 0.00788591 3.18033398405999e-14
10000 0.00801342 3.50721779213989e-14
10000 0.00814094 3.86190267674296e-14
10000 0.00826846 4.24628212726764e-14
10000 0.00839597 4.66234812045223e-14
10000 0.00852349 5.11219473312085e-14
10000 0.00865101 5.59802182976383e-14
10000 0.00877852 6.12213882408184e-14
10000 0.00890604 6.68696851340696e-14
10000 0.00903356 7.29505098468254e-14
10000 0.00916107 7.94904759041408e-14
10000 0.00928859 8.65174499274864e-14
10000 0.00941611 9.40605927352946e-14
10000 0.00954362 1.02150401078600e-13
10000 0.00967114 1.10818749983753e-13
10000 0.00979866 1.20098935670490e-13
10000 0.00992617 1.30025719009763e-13
10000 0.0100537 1.40635369481668e-13
10000 0.0101812 1.51965709589203e-13
10000 0.0103087 1.64056159679110e-13
10000 0.0104362 1.76947783115866e-13
10000 0.0105638 1.90683331749745e-13
10000 0.0106913 2.05307291614142e-13
10000 0.0108188 2.20865928781487e-13
10000 0.0109463 2.37407335300799e-13
10000 0.0110738 2.54981475133364e-13
10000 0.0112013 2.73640229995951e-13
10000 0.0113289 2.93437445013924e-13
10000 0.0114564 3.14428974078640e-13
10000 0.0115839 3.36672724795811e-13
10000 0.0117114 3.60228702902915e-13
10000 0.0118389 3.85159056025071e-13
10000 0.0119664 4.11528116629790e-13
10000 0.012094 4.39402444031312e-13
10000 0.0122215 4.68850865285657e-13
10000 0.012349 4.99944514807265e-13
10000 0.0124765 5.32756872527583e-13
10000 0.012604 5.67363800405176e-13
10000 0.0127315 6.03843577085844e-13
10000 0.0128591 6.42276930499858e-13
10000 0.0129866 6.82747068171703e-13
10000 0.0131141 7.25339705006053e-13
10000 0.0132416 7.70143088301515e-13
10000 0.0133691 8.17248019731546e-13
10000 0.0134966 8.66747874019912e-13
10000 0.0136242 9.18738614025375e-13
10000 0.0137517 9.73318801938531e-13
10000 0.0138792 1.03058960628117e-12
10000 0.0140067 1.09065480438677e-12
10000 0.0141342 1.15362078002911e-12
10000 0.0142617 1.21959651585422e-12
10000 0.0143893 1.28869358026056e-12
10000 0.0145168 1.36102610836140e-12
10000 0.0146443 1.43671077665407e-12
10000 0.0147718 1.51586677101170e-12
10000 0.0148993 1.59861574760524e-12
10000 0.0150268 1.68508178635655e-12
10000 0.0151544 1.77539133651779e-12
10000 0.0152819 1.86967315396821e-12
10000 0.0154094 1.96805822981665e-12
10000 0.0155369 2.07067970989718e-12
10000 0.0156644 2.17767280474627e-12
10000 0.0157919 2.28917468965326e-12
10000 0.0159195 2.40532439438091e-12
10000 0.016047 2.52626268216121e-12
10000 0.0161745 2.65213191758213e-12
10000 0.016302 2.78307592299435e-12
10000 0.0164295 2.91923982308463e-12
10000 0.016557 3.06076987728122e-12
10000 0.0166846 3.20781329968154e-12
10000 0.0168121 3.36051806621934e-12
10000 0.0169396 3.51903270881922e-12
10000 0.0170671 3.68350609632272e-12
10000 0.0171946 3.85408720200882e-12
10000 0.0173221 4.03092485757641e-12
10000 0.0174497 4.21416749350393e-12
10000 0.0175772 4.40396286575477e-12
10000 0.0177047 4.60045776885465e-12
10000 0.0178322 4.80379773542883e-12
10000 0.0179597 5.01412672235448e-12
10000 0.0180872 5.23158678375414e-12
10000 0.0182148 5.45631773113255e-12
10000 0.0183423 5.68845678103867e-12
10000 0.0184698 5.92813819071896e-12
10000 0.0185973 6.17549288231578e-12
10000 0.0187248 6.43064805625610e-12
10000 0.0188523 6.69372679456982e-12
10000 0.0189799 6.96484765497373e-12
10000 0.0191074 7.24412425665675e-12
10000 0.0192349 7.53166485880143e-12
10000 0.0193624 7.82757193297827e-12
10000 0.0194899 8.13194173065080e-12
10000 0.0196174 8.44486384712888e-12
10000 0.019745 8.76642078340732e-12
10000 0.0198725 9.09668750742208e-12
10000 0.02 9.43573101634964e-12

11275.2 0.001 2.03281642587455e-19
11275.2 0.00112752 4.17795587154844e-19
11275.2 0.00125503 7.94878323507386e-19
11275.2 0.00138255 1.42106003435160e-18
11275.2 0.00151007 2.41366790096078e-18
11275.2 0.00163758 3.92744272782385e-18
11275.2 0.0017651 6.16182076192892e-18
11275.2 0.00189262 9.36888772781550e-18
11275.2 0.00202013 1.38620127167916e-17
11275.2 0.00214765 2.00251701753384e-17
11275.2 0.00227517 2.83229588500396e-17
11275.2 0.00240268 3.93113271481411e-17
11275.2 0.0025302 5.36490149702254e-17
11275.2 0.00265772 7.21097226695942e-17
11275.2 0.00278523 9.55950183759555e-17
11275.2 0.00291275 1.25147995504822e-16
11275.2 0.00304027 1.61967692837503e-16
11275.2 0.00316779 2.07424290123303e-16
11275.2 0.0032953 2.63075092699413e-16
11275.2 0.00342282 3.30681319152797e-16
11275.2 0.00355034 4.12225706573010e-16
11275.2 0.00367785 5.09930948426794e-16
11275.2 0.00380537 6.26278980585011e-16
11275.2 0.00393289 7.64031131456609e-16
11275.2 0.0040604 9.26249152624876e-16
11275.2 0.00418792 1.11631714677150e-15
11275.2 0.00431544 1.33796441002517e-15
11275.2 0.00444295 1.59528920619792e-15
11275.2 0.00457047 1.89278349064384e-15
11275.2 0.00469799 2.23535860169736e-15
11275.2 0.0048255 2.62837193783829e-15
11275.2 0.00495302 3.07765463881730e-15
11275.2 0.00508054 3.58954028905985e-15
11275.2 0.00520805 4.17089466160373e-15
11275.2 0.00533557 4.82914652075240e-15
11275.2 0.00546309 5.57231950143051e-15
11275.2 0.0055906 6.40906508292319e-15
11275.2 0.00571812 7.34869667431385e-15
11275.2 0.00584564 8.40122482841636e-15
11275.2 0.00597315 9.57739360037734e-15
11275.2 0.00610067 1.08887180663518e-14
11275.2 0.00622819 1.23475230167367e-14
11275.2 0.0063557 1.39669828374174e-14
11275.2 0.00648322 1.57611625911675e-14
11275.2 0.00661074 1.77450603099736e-14
11275.2 0.00673826 1.99346505074050e-14
11275.2 0.00686577 2.23469289182770e-14
11275.2 0.00699329 2.49999584707955e-14
11275.2 0.00712081 2.79129164940430e-14
11275.2 0.00724832 3.11061431610200e-14
11275.2 0.00737584 3.46011911645816e-14
11275.2 0.00750336 3.84208766204461e-14
11275.2 0.00763087 4.25893311878081e-14
11275.2 0.00775839 4.71320553943121e-14
11275.2 0.00788591 5.20759731477986e-14
